AbsoluteTime,Phase,Step,Loop,Iteration,Frequency,CPU_Usage,RSZ,SWAP,Cumul_pflts,Temperature,Read_Kbps,Write_Kbps
1676837681904,*,*,*,*,2712895,,,,,,,
1676837681954,*,*,*,*,*,100.0,565.6m,0:00:00,0,85000,0.00,
1676837682100,*,*,*,*,2793057,,,,,,,
1676837682295,*,*,*,*,2792390,,,,,,,
1676837682495,*,*,*,*,2872267,,,,,,,
1676837682696,*,*,*,*,2832868,,,,,,,
1676837682895,*,*,*,*,2862051,,,,,,,
1676837683095,*,*,*,*,2873755,,,,,,,
1676837683214,*,*,*,*,*,100.0,565.6m,0:00:00,0,83000,0.00,
1676837683296,*,*,*,*,2842890,,,,,,,
1676837683495,*,*,*,*,2783335,,,,,,,
1676837683695,*,*,*,*,2858818,,,,,,,
1676837683895,*,*,*,*,2875681,,,,,,,
1676837684096,*,*,*,*,2865070,,,,,,,
1676837684295,*,*,*,*,2863846,,,,,,,
1676837684479,*,*,*,*,*,100.0,565.6m,0:00:00,0,82000,0.00,
1676837684499,*,*,*,*,2847018,,,,,,,
1676837684700,*,*,*,*,2697880,,,,,,,
1676837684896,*,*,*,*,2814969,,,,,,,
1676837685095,*,*,*,*,2878555,,,,,,,
1676837685295,*,*,*,*,2873076,,,,,,,
1676837685496,*,*,*,*,2870321,,,,,,,
1676837685695,*,*,*,*,2864707,,,,,,,
1676837685763,*,*,*,*,*,100.0,565.6m,0:00:00,0,83000,0.00,
1676837685895,*,*,*,*,2831501,,,,,,,
1676837686096,*,*,*,*,2831382,,,,,,,
1676837686295,*,*,*,*,2866685,,,,,,,
1676837686495,*,*,*,*,2874034,,,,,,,
1676837686696,*,*,*,*,2864585,,,,,,,
1676837686895,*,*,*,*,2870153,,,,,,,
1676837687022,*,*,*,*,*,100.0,565.6m,0:00:00,0,83000,0.00,
1676837687095,*,*,*,*,2842455,,,,,,,
1676837687295,*,*,*,*,2775526,,,,,,,
1676837687496,*,*,*,*,2866919,,,,,,,
1676837687773,*,*,*,*,2765274,,,,,,,
1676837687895,*,*,*,*,2756500,,,,,,,
1676837688097,*,*,*,*,2833815,,,,,,,
1676837688291,*,*,*,*,*,100.0,565.6m,0:00:00,0,84000,0.00,
1676837688298,*,*,*,*,2851769,,,,,,,
1676837688499,*,*,*,*,2820369,,,,,,,
1676837688695,*,*,*,*,2810374,,,,,,,
1676837688896,*,*,*,*,2873227,,,,,,,
1676837689095,*,*,*,*,2871917,,,,,,,
1676837689295,*,*,*,*,2869711,,,,,,,
1676837689496,*,*,*,*,2850898,,,,,,,
1676837689561,*,*,*,*,*,100.0,565.6m,0:00:00,0,84000,0.00,
1676837689695,*,*,*,*,2803759,,,,,,,
